,horsepower,engine,energie,boite_de_vitesse,porte,couleur,premiere_main,departement,age,Finition
256,90.0,0.9,Essence,meca,5.0,blanc,oui,31,344,autre
257,90.0,0.9,Essence,meca,5.0,platine,non,34,1247,Intens
258,90.0,0.9,Essence,meca,5.0,gris,oui,59,507,Intens
259,90.0,0.9,Essence,meca,5.0,blanc,non,84,846,Limited
260,90.0,0.9,Essence,meca,5.0,titane,oui,33,233,Limited
261,90.0,0.9,Essence,meca,5.0,rouge,non,33,499,autre
262,90.0,1.5,Diesel,meca,5.0,noir,non,75,1202,autre
263,90.0,0.9,Essence,meca,5.0,gris,oui,88,1064,Limited
264,90.0,1.5,Diesel,meca,5.0,gris,oui,76,488,Intens
265,90.0,0.9,Essence,meca,5.0,blanc,non,17,1468,Limited
266,90.0,0.9,Essence,meca,5.0,gris,oui,54,1938,Limited
267,90.0,0.9,Essence,meca,5.0,gris,oui,91,928,Zen
268,75.0,1.2,Essence,meca,5.0,noir,non,91,753,Zen
269,90.0,1.5,Diesel,meca,5.0,noir,oui,35,369,Intens
270,90.0,1.5,Diesel,meca,5.0,gris,oui,31,585,Intens
271,75.0,1.5,Diesel,meca,5.0,blanc,oui,91,1746,Business
272,85.0,1.5,Diesel,meca,5.0,gris,non,46,4726,autre
273,90.0,0.9,Essence,meca,5.0,gris,non,91,828,Intens
274,90.0,0.9,Essence,meca,5.0,gris,non,45,650,Intens
275,90.0,0.9,Essence,meca,5.0,noir,oui,66,353,Intens
276,90.0,0.9,Essence,meca,5.0,gris,non,74,403,Intens
277,90.0,0.9,Essence,meca,5.0,gris,oui,71,213,autre
278,90.0,0.9,Essence,meca,5.0,noir,oui,6,998,Limited
279,90.0,1.5,Diesel,meca,5.0,blanc,non,31,242,Business
280,90.0,1.5,Diesel,meca,5.0,blanc,non,35,2041,Business
281,90.0,1.5,Diesel,meca,5.0,gris,oui,59,704,Intens
282,90.0,1.5,Diesel,meca,5.0,noir,oui,59,681,Intens
283,90.0,1.5,Diesel,meca,5.0,blanc,oui,25,685,Intens
284,90.0,1.5,Diesel,auto,5.0,blanc,non,89,1424,autre
285,120.0,1.2,Essence,auto,5.0,gris,non,77,763,Intens
286,90.0,0.9,Essence,meca,5.0,gris,oui,91,82,Limited
287,90.0,1.5,Diesel,meca,5.0,autre,non,91,1696,Business
288,90.0,0.9,Essence,meca,5.0,platine,non,33,982,Limited
289,90.0,1.5,Diesel,meca,5.0,gris,non,95,1339,Business
290,90.0,1.5,Diesel,meca,5.0,blanc,non,93,1317,Business
291,90.0,1.5,Diesel,meca,5.0,gris,oui,91,1319,Business
292,75.0,1.2,Essence,meca,5.0,blanc,non,33,3328,Expression
293,90.0,0.9,Essence,meca,5.0,gris,oui,59,1280,Limited
294,90.0,0.9,Essence,meca,5.0,gris,oui,78,1024,Limited
295,90.0,0.9,Essence,meca,5.0,rouge,oui,91,505,Limited
296,90.0,0.9,Essence,meca,5.0,noir,oui,91,1360,Zen
297,90.0,0.9,Essence,meca,5.0,gris,oui,54,982,Zen
298,90.0,0.9,Essence,meca,5.0,gris,oui,49,1053,Zen
299,75.0,1.2,Essence,meca,5.0,blanc,non,62,1274,Zen
300,90.0,1.5,Diesel,auto,5.0,bleu,non,73,722,Business
301,90.0,1.5,Diesel,meca,5.0,gris,oui,30,709,Intens
302,90.0,1.5,Diesel,auto,5.0,noir,non,51,377,Intens
303,75.0,1.2,Essence,meca,5.0,blanc,oui,37,1180,autre
304,75.0,1.5,Diesel,meca,5.0,blanc,non,2,1284,Business
305,75.0,1.5,Diesel,meca,5.0,gris,non,11,512,Zen
306,90.0,0.9,Essence,meca,5.0,bleu,non,10,825,Intens
307,90.0,0.9,Essence,meca,5.0,blanc,oui,31,484,Business
308,90.0,0.9,Essence,meca,5.0,bleu,oui,92,757,Business
309,90.0,0.9,Essence,meca,5.0,noir,oui,91,563,Intens
310,75.0,1.2,Essence,meca,5.0,noir,oui,62,1026,autre
311,120.0,1.2,Essence,auto,5.0,blanc,non,28,874,Intens
312,75.0,1.5,Diesel,meca,5.0,noir,oui,31,533,Business
313,90.0,0.9,Essence,meca,5.0,gris,non,93,563,Intens
314,90.0,1.5,Diesel,meca,5.0,rouge,oui,76,466,Intens
315,75.0,1.5,Diesel,meca,5.0,blanc,non,74,403,Zen
316,75.0,1.2,Essence,meca,5.0,blanc,oui,42,1405,Zen
317,75.0,1.5,Diesel,meca,5.0,gris,non,33,849,Business
318,75.0,1.5,Diesel,meca,5.0,blanc,non,91,1133,Business
319,90.0,0.9,Essence,meca,5.0,blanc,oui,35,1041,Limited
320,90.0,0.9,Essence,meca,5.0,blanc,non,10,26,Zen
321,110.0,1.5,Diesel,meca,5.0,blanc,oui,31,1172,autre
322,90.0,0.9,Essence,meca,5.0,gris,oui,13,534,Intens
323,120.0,1.2,Essence,auto,5.0,noir,oui,95,900,autre
324,120.0,1.2,Essence,auto,5.0,bleu,non,18,885,Intens
325,90.0,1.5,Diesel,meca,5.0,autre,non,77,1562,Intens
326,90.0,0.9,Essence,meca,5.0,noir,oui,28,1015,Limited
327,90.0,1.5,Diesel,meca,5.0,gris,non,21,1361,Limited
328,90.0,1.5,Diesel,meca,5.0,gris,non,30,2357,Zen
